2026-04-16 11:55:00,033 | INFO | csv_record_manager | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:02:38,513 | INFO | csv_record_manager | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:21:27,397 | INFO | record_manager_dashboard | Migrating legacy CSV schema in G:\Personal Builds\Data-collection chatgpt\data\records.csv
2026-04-16 12:21:27,405 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:21:45,280 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:27:36,856 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:29:24,263 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection chatgpt
2026-04-16 12:50:17,861 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection
2026-04-16 13:05:46,142 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection
2026-04-16 13:05:57,140 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection
2026-04-16 13:22:41,772 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection\Data-collection
2026-04-16 13:24:26,463 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection\Data-collection
2026-04-16 13:31:53,937 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection\Data-collection
2026-04-16 13:35:33,508 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection\Data-collection
2026-04-16 13:35:45,507 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\Data-collection\Data-collection
2026-04-21 12:11:33,972 | INFO | record_manager_dashboard | Migrating transition CSV schema in G:\Personal Builds\tester\Data-collection\data\records.csv
2026-04-21 12:11:33,975 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 13:22:16,021 | INFO | record_manager_dashboard | Migrating pre-candidate CSV schema in G:\Personal Builds\tester\Data-collection\data\records.csv
2026-04-21 13:22:16,021 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 13:24:03,298 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 13:26:02,156 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 13:29:58,261 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 13:32:33,204 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-21 14:30:12,843 | INFO | record_manager_dashboard | Starting application from G:\Personal Builds\tester\Data-collection
2026-04-22 13:48:33,583 | INFO | record_manager_dashboard | Install root: G:\Personal Builds\tester\Data-collection
2026-04-22 13:48:33,583 | INFO | record_manager_dashboard | Resource root: G:\Personal Builds\tester\Data-collection
2026-04-22 13:48:33,583 | INFO | record_manager_dashboard | Storage root: G:\Personal Builds\tester\Data-collection
2026-04-22 13:48:33,585 | INFO | record_manager_dashboard | Starting application from storage root G:\Personal Builds\tester\Data-collection
